Papel;Segmento;Cotacao;FFO_Yield;Dividend_Yield;P_PER_VP;Valor_de_Mercado;Liquidez;Qtd_de_imoveis;Preco_do_m2;Aluguel_por_m2;Cap_Rate_PERC;Vacancia_Media
PRSV11;Lajes Corporativas;68,45;-0,2602;0;0,39;13.347.800;2.913;1;1.332,74;0;0;1
PVBI11;Lajes Corporativas;92,77;0,0484;0,0839;0,91;2.401.140.000;6.628.440;6;16.525,30;1.022,47;0,0619;0,1032
QAGR11;Outros;46,42;0,1136;0,1159;0,79;233.957.000;244.982;12;1.614,02;210,72;0,1306;0
RBCO11;Lajes Corporativas;44;0,1233;0,0839;0,49;166.276.000;144.616;4;3.812,31;614,84;0,1613;0
RBDS11;Residencial;2,5;-0,5918;0;0,12;316.308;702;0;0;0;0;0
RBED11;Outros;136,58;0,1124;0,1143;0,94;321.649.000;184.292;7;3.367,54;390,35;0,1159;0
RBFF11;Títulos e Val. Mob.;59,89;0,0756;0,0961;0,89;224.540.000;427.995;0;0;0;0;0
RBHG11;Títulos e Val. Mob.;86,2;0,0818;0,1177;0,97;186.878.000;348.705;0;0;0;0;0
RBHY11;Títulos e Val. Mob.;89,98;0,1196;0,1322;0,97;170.378.000;134.419;0;0;0;0;0
RBIR11;Residencial;85,32;0,0288;0,0358;0,88;130.421.000;158.308;0;0;0;0;0
RBLG11;Logística;100;0,1123;0,1162;0,96;64.019.900;361;1;347,55;35,68;0,1027;0
RBOP11;Outros;370;0,1585;0,1305;0,48;37.615.700;26.824;2;1.969,18;339,92;0,1726;0,8278
RBRD11;Híbrido;37,61;0,0993;0,1055;0,56;69.645.700;33.380;4;2.527,05;358,58;0,1419;0,2796
RBRF11;Títulos e Val. Mob.;7,52;0,0923;0,0859;0,85;1.028.790.000;3.018.570;0;0;0;0;0
RBRI11;Híbrido;1.000,00;-0,0143;0;0,85;139.664.000;225;0;0;0;0;0
RBRL11;Logística;76,99;0,0997;0,1007;0,76;514.835.000;557.297;5;2.293,06;274,43;0,1197;0
RBRP11;Outros;58,14;0,0515;0,0699;0,73;708.098.000;1.398.100;11;7.948,75;507,95;0,0639;0
RBRR11;Títulos e Val. Mob.;91,61;0,0774;0,0928;0,97;1.379.390.000;3.292.270;0;0;0;0;0
RBRS11;Híbrido;44,05;0,0796;0,0537;0,48;76.395.900;24.425;3;7.221,98;707,6;0,098;0,8076
RBRX11;Títulos e Val. Mob.;9,11;0,0554;0,127;0,94;268.459.000;1.371.990;0;0;0;0;0
RBRY11;Títulos e Val. Mob.;97,1;0,0726;0,123;0,99;1.239.920.000;5.309.170;0;0;0;0;0
RBTS11;Outros;804,99;-0,0189;0,1673;1,06;45.502.100;3.264;0;0;0;0;0
RBVA11;Outros;104,8;0,0887;0,1167;0,97;1.308.460.000;1.487.730;50;16.796,00;1.975,52;0,1176;0,0043
RBVO11;;19,69;0,0156;0,2868;1,96;10.156.600;280.641;0;0;0;0;0
RCFF11;Títulos e Val. Mob.;99;0,0149;0,0135;0,96;31.996.800;113;0;0;0;0;0
RCRB11;Lajes Corporativas;139;0,0312;0,0711;0,68;513.007.000;821.600;9;12.556,20;1.097,80;0,0874;0,0361
RECR11;Títulos e Val. Mob.;85,45;0,1208;0,1096;0,91;2.259.440.000;3.167.620;1;42.130,90;0;0;1,0002
RECT11;Híbrido;35,15;0,1377;0,1259;0,38;300.304.000;383.888;9;3.924,61;782,05;0,1993;0,0992
RECX11;Títulos e Val. Mob.;66,23;0,1166;0,0991;0,88;14.458.900;11.402;0;0;0;0;0
REIT11;Títulos e Val. Mob.;155,01;0,0533;0,1031;0,54;4.075.370;4;0;0;0;0;0
